day,time,count,location,type,relationship,mood,frequency
1,12,1,1,1,2,7,4
1,13,2,1,1,1,7,3
1,16,3,1,3,3,7,6
1,18,4,3,3,3,7,6
1,20,5,2,3,3,7,4
1,23,6,2,5,0,7,3
2,10,1,4,1,1,8,4
2,12,2,5,1,1,8,3
2,14,3,1,1,2,8,3
2,16,4,1,3,3,8,3
3,16,1,2,5,0,8,5
3,18,2,4,1,1,8,2
3,20,3,6,1,3,8,5
3,22,4,6,4,3,8,6
3,23,5,6,3,2,8,9
4,11,1,2,5,0,6,6
4,18,2,3,1,3,6,4
4,19,3,3,3,3,6,3
4,22,4,2,3,3,6,3
5,9,1,2,1,3,5,5
5,12,2,1,2,1,5,3
5,15,3,1,3,3,5,11
5,15,4,1,4,3,5,11
6,12,1,4,2,1,7,2
6,14,2,1,3,3,7,11
6,16,3,1,4,3,7,3
6,18,4,1,3,2,7,4
6,22,5,2,5,0,7,3
7,10,1,1,2,2,8,3
7,10,2,1,3,3,8,11
7,12,3,1,4,1,8,4
7,12,4,1,3,3,8,5
7,22,5,2,3,3,8,8
8,14,1,1,1,3,8,15
8,14,2,1,2,2,8,4
8,16,3,1,3,3,8,12
8,16,4,1,4,1,8,3
8,21,5,2,1,3,8,4
8,23,6,2,5,0,8,5
9,10,1,1,1,3,5,4
9,14,2,1,3,2,5,11
9,21,3,6,1,3,5,5
9,21,4,6,3,3,5,12
10,11,1,2,5,0,5,8
10,13,2,6,1,3,5,10
10,15,3,6,4,3,5,2
10,20,4,2,3,3,5,6
11,14,1,2,3,3,7,4
11,15,2,2,1,3,7,6
11,20,3,2,5,0,7,13
12,12,1,4,2,1,6,3
12,14,2,1,1,2,6,4
12,14,3,1,1,3,6,11
12,14,4,1,4,2,6,6
12,14,5,1,3,3,6,9
12,20,6,2,3,3,6,8
13,14,1,4,2,1,8,3
13,15,2,5,1,1,8,4
13,17,3,1,2,1,8,2
13,18,4,1,1,2,8,7
13,18,5,1,3,3,8,3
13,18,6,1,3,2,8,4
13,21,7,2,3,3,8,8
14,9,1,1,1,2,7,8
14,10,2,1,1,1,7,5
14,12,3,1,4,3,7,5
14,14,4,1,3,2,7,2
14,15,5,1,3,3,7,11
14,20,6,1,3,2,7,4
15,13,1,1,1,3,9,3
15,15,2,1,1,1,9,4
15,17,3,1,1,2,9,5
15,17,4,1,4,2,9,3
15,17,5,1,3,2,9,8
15,20,6,2,3,3,9,7
15,22,7,2,5,0,9,6
16,9,1,1,1,1,8,8
16,10,2,1,3,1,8,3
16,14,3,5,3,1,8,1
16,20,4,6,3,3,8,14
17,19,1,6,1,2,6,2
17,20,2,6,3,3,6,19
18,18,1,2,3,3,7,6
18,22,2,2,5,0,7,12
19,13,1,1,1,1,8,11
19,15,2,1,1,3,8,3
19,18,3,1,3,3,8,12
19,18,4,1,3,2,8,2
19,20,5,2,3,3,8,4
19,22,6,4,2,1,8,3
20,12,1,5,1,1,9,5
20,12,2,5,3,1,9,2
20,15,3,1,4,3,9,14
20,15,4,1,3,3,9,16
20,20,5,2,3,3,9,5
20,20,6,2,5,0,9,3
21,9,1,2,1,3,6,1
21,10,2,1,1,2,6,5
21,10,3,1,2,2,6,4
21,10,4,1,3,3,6,16
21,10,5,1,1,3,6,8
21,10,6,2,3,3,6,3
